aptNm,area_bucket,dealDate,dealAmount_now,buildYear,age_at_deal,excluUseAr,floor,dealYear,dealMonth,price_5y
e편한세상상도노빌리티,55.0,2020-01-02,115000,2018,2,59.7827,14,2020,1,146016.66666666666
e편한세상상도노빌리티,55.0,2020-01-29,109900,2018,2,59.9173,2,2020,1,147185.1851851852
e편한세상상도노빌리티,55.0,2020-01-29,110100,2018,2,59.9173,5,2020,1,147185.1851851852
e편한세상상도노빌리티,55.0,2020-01-29,97000,2018,2,59.9173,1,2020,1,147185.1851851852
e편한세상상도노빌리티,55.0,2020-02-01,112500,2018,2,59.7827,19,2020,2,147653.84615384616
e편한세상상도노빌리티,55.0,2020-02-15,109000,2018,2,59.9173,9,2020,2,148229.16666666666
e편한세상상도노빌리티,55.0,2020-02-19,115000,2018,2,59.7827,4,2020,2,148229.16666666666
e편한세상상도노빌리티,55.0,2020-02-28,114000,2018,2,59.9173,2,2020,2,149557.6923076923
e편한세상상도노빌리티,55.0,2020-03-07,116000,2018,2,59.7827,20,2020,3,149820.0
e편한세상상도노빌리티,55.0,2020-06-14,118000,2018,2,59.7827,15,2020,6,151204.54545454544
e편한세상상도노빌리티,55.0,2020-06-15,115000,2018,2,59.5905,26,2020,6,151204.54545454544
e편한세상상도노빌리티,55.0,2020-07-12,128000,2018,2,59.5905,20,2020,7,151204.54545454544
e편한세상상도노빌리티,55.0,2020-07-22,124000,2018,2,59.7827,16,2020,7,151204.54545454544
e편한세상상도노빌리티,55.0,2020-07-26,129000,2018,2,59.7827,9,2020,7,151204.54545454544
e편한세상상도노빌리티,55.0,2020-10-14,129500,2018,2,59.7827,18,2020,10,157050.0
e편한세상상도노빌리티,55.0,2020-11-17,129500,2018,2,59.7827,17,2020,11,159071.42857142858
e편한세상상도노빌리티,55.0,2020-12-03,128500,2018,2,59.9173,12,2020,12,162100.0
e편한세상상도노빌리티,55.0,2020-12-06,124800,2018,2,59.7827,3,2020,12,162100.0
e편한세상상도노빌리티,55.0,2020-12-22,128000,2018,2,59.7827,25,2020,12,165500.0
e편한세상상도노빌리티,55.0,2021-01-02,131800,2018,3,59.7827,13,2021,1,165500.0
e편한세상상도노빌리티,55.0,2021-01-13,132800,2018,3,59.7827,1,2021,1,165500.0
e편한세상상도노빌리티,80.0,2020-02-18,149000,2018,2,84.8746,25,2020,2,168884.375
e편한세상상도노빌리티,80.0,2020-03-27,140000,2018,2,84.9704,17,2020,3,175765.9090909091
e편한세상상도노빌리티,80.0,2020-05-01,132000,2018,2,84.9704,17,2020,5,181170.58823529413
e편한세상상도노빌리티,80.0,2020-06-17,140000,2018,2,84.9704,8,2020,6,181594.0
e편한세상상도노빌리티,80.0,2020-07-04,145000,2018,2,84.9704,11,2020,7,182034.693877551
e편한세상상도노빌리티,80.0,2020-07-17,142500,2018,2,84.9704,9,2020,7,182951.06382978722
e편한세상상도노빌리티,80.0,2020-07-27,148500,2018,2,84.9704,14,2020,7,183417.39130434784
e편한세상상도노빌리티,80.0,2020-08-03,160000,2018,2,84.8746,1,2020,8,183417.39130434784
e편한세상상도노빌리티,80.0,2020-08-18,150000,2018,2,84.9704,16,2020,8,183831.11111111112
e편한세상상도노빌리티,80.0,2020-08-31,149000,2018,2,84.9704,22,2020,8,184695.3488372093
e편한세상상도노빌리티,80.0,2020-09-04,147000,2018,2,84.9704,2,2020,9,184695.3488372093
e편한세상상도노빌리티,80.0,2020-09-07,148500,2018,2,84.9704,3,2020,9,185092.85714285713
e편한세상상도노빌리티,80.0,2020-10-17,149500,2018,2,84.8746,11,2020,10,186446.15384615384
e편한세상상도노빌리티,80.0,2020-10-28,145000,2018,2,84.9546,3,2020,10,186852.63157894736
e편한세상상도노빌리티,80.0,2020-10-28,149000,2018,2,84.9546,11,2020,10,186852.63157894736
e편한세상상도노빌리티,80.0,2020-10-28,149000,2018,2,84.9546,11,2020,10,186852.63157894736
e편한세상상도노빌리티,80.0,2020-11-19,150000,2018,2,84.8746,20,2020,11,187254.05405405405
e편한세상상도노빌리티,80.0,2020-11-25,150000,2018,2,84.8746,15,2020,11,188097.14285714287
e편한세상상도노빌리티,80.0,2020-11-28,144500,2018,2,84.9704,21,2020,11,188097.14285714287
e편한세상상도노빌리티,80.0,2020-12-05,149000,2018,2,84.9546,7,2020,12,188423.5294117647
e편한세상상도노빌리티,80.0,2020-12-12,149000,2018,2,84.9704,3,2020,12,189658.06451612903
e편한세상상도노빌리티,80.0,2020-12-15,145000,2018,2,84.9704,16,2020,12,189813.33333333334
e편한세상상도노빌리티,80.0,2020-12-26,159000,2018,2,84.9704,11,2020,12,190371.42857142858
e편한세상상도노빌리티,80.0,2020-12-26,147000,2018,2,84.9546,2,2020,12,190371.42857142858
e편한세상상도노빌리티,80.0,2021-01-13,163300,2018,3,84.9704,26,2021,1,192959.25925925927
e편한세상상도노빌리티,80.0,2021-02-09,160000,2018,3,84.9704,18,2021,2,194391.66666666666
e편한세상상도노빌리티,80.0,2021-03-17,130020,2018,3,84.9546,8,2021,3,201384.61538461538
e편한세상상도노빌리티,105.0,2020-03-09,159200,2018,2,108.9843,22,2020,3,195000.0
건영,30.0,2020-02-22,44200,1997,23,32.8,15,2020,2,57031.57894736842
건영,30.0,2020-03-21,47000,1997,23,32.8,17,2020,3,57510.52631578947
건영,30.0,2020-06-06,52000,1997,23,32.8,13,2020,6,57455.555555555555
건영,30.0,2020-06-17,52500,1997,23,32.8,3,2020,6,57455.555555555555
건영,30.0,2020-06-20,51000,1997,23,32.8,18,2020,6,57455.555555555555
건영,30.0,2020-06-25,46000,1997,23,32.8,1,2020,6,57517.64705882353
건영,30.0,2020-07-11,53300,1997,23,32.8,3,2020,7,57406.25
건영,30.0,2020-08-04,55500,1997,23,32.8,10,2020,8,57406.25
건영,30.0,2020-08-15,58700,1997,23,32.8,13,2020,8,57466.666666666664
건영,30.0,2020-10-15,62800,1997,23,32.8,17,2020,10,57572.72727272727
건영,110.0,2020-01-14,89700,1997,23,114.96,6,2020,1,113014.70588235294
건영,110.0,2020-02-19,90000,1997,23,114.96,7,2020,2,113720.58823529411
건영,110.0,2020-02-21,89000,1997,23,114.96,3,2020,2,113720.58823529411
건영,110.0,2020-06-20,88800,1997,23,114.96,5,2020,6,118607.14285714286
건영,110.0,2020-07-04,99000,1997,23,114.96,7,2020,7,119578.94736842105
건영,110.0,2020-07-09,97000,1997,23,114.96,14,2020,7,119578.94736842105
건영,110.0,2020-10-31,102500,1997,23,114.96,9,2020,10,124115.38461538461
건영,110.0,2020-12-05,105500,1997,23,114.96,10,2020,12,125555.55555555556
경향렉스빌,55.0,2020-07-31,52000,2002,18,58.7112,1,2020,7,67500.0
경향렉스빌,55.0,2021-02-19,69500,2002,19,58.7112,12,2021,2,67500.0
경향렉스빌,55.0,2021-03-07,70000,2002,19,58.7112,15,2021,3,67500.0
경향렉스빌,55.0,2021-03-15,68500,2002,19,58.7112,16,2021,3,67000.0
경향렉스빌,60.0,2020-07-04,55000,2002,18,61.5494,7,2020,7,68475.0
경향렉스빌,80.0,2020-01-23,56000,2002,18,84.5802,9,2020,1,83000.0
경향렉스빌,80.0,2020-06-29,68800,2002,18,84.9832,5,2020,6,85500.0
경향렉스빌,80.0,2020-07-09,70500,2002,18,84.5802,12,2020,7,85500.0
경향렉스빌,80.0,2020-07-18,69000,2002,18,84.5802,2,2020,7,85500.0
경향렉스빌,80.0,2020-07-25,78700,2002,18,84.9832,12,2020,7,85500.0
경향렉스빌,110.0,2020-03-02,76500,2002,18,114.6534,6,2020,3,89000.0
남현그린,75.0,2020-07-14,36500,2003,17,78.37,2,2020,7,49000.0
다온아파트,55.0,2020-04-21,39800,2017,3,55.22,2,2020,4,57000.0
대림아파트,65.0,2020-01-13,59000,1995,25,66.59,14,2020,1,69642.85714285714
대림아파트,65.0,2020-02-24,59500,1995,25,66.59,13,2020,2,69916.66666666667
대림아파트,65.0,2020-05-15,60000,1995,25,66.59,5,2020,5,70416.66666666667
대림아파트,65.0,2020-06-13,61000,1995,25,66.59,3,2020,6,70416.66666666667
대림아파트,65.0,2020-06-13,61000,1995,25,66.59,3,2020,6,70416.66666666667
대림아파트,65.0,2020-06-17,59000,1995,25,66.59,4,2020,6,70900.0
대림아파트,65.0,2020-08-05,69800,1995,25,66.59,6,2020,8,70625.0
대림아파트,80.0,2020-01-15,65500,1995,25,84.89,6,2020,1,82062.5
대림아파트,80.0,2020-01-18,66000,1995,25,84.89,10,2020,1,82062.5
대림아파트,80.0,2020-02-15,66500,1995,25,84.89,5,2020,2,82722.22222222222
대림아파트,80.0,2020-05-30,60000,1995,25,84.89,2,2020,5,83754.54545454546
대림아파트,80.0,2020-05-30,62000,1995,25,84.89,3,2020,5,83754.54545454546
대림아파트,80.0,2020-06-08,66000,1995,25,84.89,11,2020,6,83754.54545454546
대림아파트,80.0,2020-06-13,69500,1995,25,84.89,4,2020,6,83754.54545454546
대림아파트,80.0,2020-06-17,69800,1995,25,84.89,15,2020,6,83754.54545454546
대림아파트,80.0,2020-06-23,74000,1995,25,84.89,12,2020,6,83754.54545454546
대림아파트,80.0,2020-07-02,71500,1995,25,84.89,1,2020,7,83754.54545454546
대림아파트,80.0,2020-07-06,78000,1995,25,84.89,10,2020,7,83754.54545454546
대림아파트,80.0,2020-07-14,75800,1995,25,84.89,14,2020,7,83754.54545454546
대림아파트,80.0,2020-09-12,80500,1995,25,84.89,7,2020,9,83754.54545454546
대림아파트,80.0,2021-01-23,87000,1995,26,84.89,10,2021,1,84714.28571428571
대림아파트,80.0,2021-03-11,89000,1995,26,84.89,8,2021,3,85100.0
대림아파트,80.0,2021-03-20,81000,1995,26,84.89,2,2021,3,86375.0
대우유로카운티,130.0,2020-06-16,100000,2003,17,133.67,8,2020,6,141000.0
대우유로카운티,140.0,2020-06-27,102000,2003,17,142.129,13,2020,6,139500.0
대우유로카운티,140.0,2020-09-03,104500,2003,17,142.129,17,2020,9,139500.0
동아,80.0,2020-03-21,43850,1995,25,83.09,6,2020,3,63500.0
동아,80.0,2020-07-11,55000,1995,25,83.09,4,2020,7,63500.0
동아,80.0,2020-11-01,62000,1995,25,83.09,8,2020,11,63500.0
동원베네스트,80.0,2020-06-16,93000,2008,12,84.97,3,2020,6,123471.42857142857
동원베네스트,80.0,2020-06-18,93000,2008,12,84.958,10,2020,6,123471.42857142857
동원베네스트,80.0,2020-06-27,94000,2008,12,84.958,4,2020,6,123471.42857142857
동원베네스트,80.0,2020-06-29,98000,2008,12,84.97,10,2020,6,123471.42857142857
동원베네스트,80.0,2020-07-04,98000,2008,12,84.958,6,2020,7,123471.42857142857
동원베네스트,80.0,2020-07-14,100000,2008,12,84.958,4,2020,7,123471.42857142857
동원베네스트,80.0,2020-07-14,100000,2008,12,84.958,4,2020,7,123471.42857142857
동원베네스트,80.0,2020-08-13,109000,2008,12,84.953,10,2020,8,123471.42857142857
동원베네스트,80.0,2020-09-10,102000,2008,12,84.958,8,2020,9,123471.42857142857
동원베네스트,80.0,2020-11-02,109500,2008,12,84.97,6,2020,11,124583.33333333333
동원베네스트,80.0,2020-11-29,109800,2008,12,84.97,5,2020,11,125409.09090909091
동원베네스트,80.0,2020-12-09,110000,2008,12,84.958,7,2020,12,126050.0
동원베네스트,80.0,2020-12-09,110000,2008,12,84.829,2,2020,12,126050.0
동원베네스트,80.0,2020-12-11,114500,2008,12,84.958,7,2020,12,126050.0
동원베네스트,80.0,2020-12-18,109800,2008,12,84.958,12,2020,12,127277.77777777778
동원베네스트,80.0,2021-02-01,115000,2008,13,84.97,2,2021,2,128071.42857142857
두산위브트레지움2차,55.0,2020-01-23,90000,2016,4,59.7852,4,2020,1,131333.33333333334
두산위브트레지움2차,55.0,2020-02-28,110000,2016,4,59.7852,9,2020,2,136500.0
두산위브트레지움2차,55.0,2020-09-16,110000,2016,4,59.7852,17,2020,9,140833.33333333334
두산위브트레지움2차,55.0,2020-12-13,123000,2016,4,59.7852,11,2020,12,146250.0
두산위브트레지움2차,55.0,2021-02-22,129500,2016,5,59.7852,3,2021,2,149500.0
두산위브트레지움2차,80.0,2020-01-31,123000,2016,4,84.8624,20,2020,1,149737.80487804877
두산위브트레지움2차,80.0,2020-02-25,129000,2016,4,84.864,23,2020,2,149737.80487804877
두산위브트레지움2차,80.0,2020-03-07,127000,2016,4,84.8032,19,2020,3,149768.75
두산위브트레지움2차,80.0,2020-06-02,126500,2016,4,84.9988,9,2020,6,155627.77777777778
두산위브트레지움2차,80.0,2020-06-09,130800,2016,4,84.9736,11,2020,6,155627.77777777778
두산위브트레지움2차,80.0,2020-06-15,129000,2016,4,84.8032,15,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-16,130000,2016,4,84.8624,16,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-16,127300,2016,4,84.8032,19,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-20,128500,2016,4,84.864,16,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-22,128000,2016,4,84.864,7,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-25,127000,2016,4,84.864,10,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-26,129000,2016,4,84.8032,15,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-28,130000,2016,4,84.8032,20,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-06-29,129000,2016,4,84.864,17,2020,6,156215.11627906977
두산위브트레지움2차,80.0,2020-07-01,133500,2016,4,84.8032,16,2020,7,156215.11627906977
두산위브트레지움2차,80.0,2020-07-02,127000,2016,4,84.864,5,2020,7,156215.11627906977
두산위브트레지움2차,80.0,2020-07-07,129000,2016,4,84.8032,4,2020,7,156529.7619047619
두산위브트레지움2차,80.0,2020-07-07,129000,2016,4,84.8032,4,2020,7,156529.7619047619
두산위브트레지움2차,80.0,2020-07-16,137500,2016,4,84.864,8,2020,7,158085.52631578947
두산위브트레지움2차,80.0,2020-07-20,138000,2016,4,84.9736,7,2020,7,158085.52631578947
두산위브트레지움2차,80.0,2020-10-26,133000,2016,4,84.8032,10,2020,10,169847.22222222222
두산위브트레지움2차,80.0,2020-10-31,138500,2016,4,84.8032,12,2020,10,169847.22222222222
두산위브트레지움2차,80.0,2020-12-02,140000,2016,4,84.9736,20,2020,12,171187.5
두산위브트레지움2차,80.0,2020-12-04,141500,2016,4,84.864,15,2020,12,171800.0
두산위브트레지움2차,80.0,2020-12-13,137500,2016,4,84.864,15,2020,12,173615.38461538462
두산위브트레지움2차,80.0,2020-12-22,140000,2016,4,84.9988,21,2020,12,177000.0
두산위브트레지움2차,80.0,2020-12-25,139500,2016,4,84.864,17,2020,12,177000.0
두산위브트레지움2차,80.0,2021-01-09,145000,2016,5,84.864,12,2021,1,177000.0
두산위브트레지움2차,80.0,2021-01-23,141000,2016,5,84.864,9,2021,1,177000.0
두산위브트레지움2차,80.0,2021-02-01,145000,2016,5,84.864,19,2021,2,177000.0
두산위브트레지움2차,80.0,2021-02-10,146400,2016,5,84.8032,10,2021,2,177000.0
두산위브트레지움2차,80.0,2021-02-27,152000,2016,5,84.9736,16,2021,2,177000.0
래미안상도3차,55.0,2020-07-24,97000,2004,16,59.97,14,2020,7,121750.0
래미안상도3차,55.0,2020-09-02,97200,2004,16,59.97,5,2020,9,122176.4705882353
래미안상도3차,55.0,2020-10-06,96000,2004,16,59.97,3,2020,10,125642.85714285714
래미안상도3차,55.0,2020-10-28,97000,2004,16,59.97,12,2020,10,125642.85714285714
래미안상도3차,55.0,2020-10-29,97000,2004,16,59.97,12,2020,10,125642.85714285714
래미안상도3차,55.0,2020-12-24,108000,2004,16,59.97,5,2020,12,129571.42857142857
래미안상도3차,80.0,2020-02-15,108700,2004,16,84.96,11,2020,2,135917.94871794872
래미안상도3차,80.0,2020-02-21,99000,2004,16,84.96,3,2020,2,136205.26315789475
래미안상도3차,80.0,2020-02-27,98000,2004,16,84.96,3,2020,2,136291.8918918919
래미안상도3차,80.0,2020-03-06,108000,2004,16,84.96,15,2020,3,136457.5
래미안상도3차,80.0,2020-04-11,95000,2004,16,84.96,2,2020,4,138306.0
래미안상도3차,80.0,2020-05-09,101900,2004,16,84.96,3,2020,5,138459.25925925927
래미안상도3차,80.0,2020-05-16,101000,2004,16,84.96,3,2020,5,138459.25925925927
래미안상도3차,80.0,2020-05-19,110000,2004,16,84.96,8,2020,5,138459.25925925927
래미안상도3차,80.0,2020-06-04,99000,2004,16,84.96,2,2020,6,138775.0
래미안상도3차,80.0,2020-06-08,110500,2004,16,84.96,9,2020,6,138760.78431372548
래미안상도3차,80.0,2020-06-10,110700,2004,16,84.96,8,2020,6,138760.78431372548
래미안상도3차,80.0,2020-06-11,105500,2004,16,84.96,10,2020,6,138760.78431372548
래미안상도3차,80.0,2020-06-15,114000,2004,16,84.96,14,2020,6,138936.0
래미안상도3차,80.0,2020-06-20,108200,2004,16,84.96,6,2020,6,138936.0
래미안상도3차,80.0,2020-06-22,108900,2004,16,84.96,4,2020,6,138936.0
래미안상도3차,80.0,2020-06-22,111000,2004,16,84.96,3,2020,6,138936.0
래미안상도3차,80.0,2020-06-23,110800,2004,16,84.96,3,2020,6,138936.0
래미안상도3차,80.0,2020-06-24,107500,2004,16,84.96,9,2020,6,138936.0
래미안상도3차,80.0,2020-06-27,111800,2004,16,84.96,13,2020,6,138936.0
래미안상도3차,80.0,2020-06-29,112000,2004,16,84.96,4,2020,6,138936.0
래미안상도3차,80.0,2020-06-30,113000,2004,16,84.96,6,2020,6,138936.0
래미안상도3차,80.0,2020-07-01,98000,2004,16,84.96,1,2020,7,138936.0
래미안상도3차,80.0,2020-07-03,115000,2004,16,84.96,9,2020,7,138936.0
래미안상도3차,80.0,2020-07-04,109000,2004,16,84.96,5,2020,7,138936.0
래미안상도3차,80.0,2020-07-09,111000,2004,16,84.96,2,2020,7,138936.0
래미안상도3차,80.0,2020-07-11,106000,2004,16,84.96,2,2020,7,138936.0
래미안상도3차,80.0,2020-07-11,115700,2004,16,84.96,9,2020,7,138936.0
래미안상도3차,80.0,2020-07-28,114000,2004,16,84.96,7,2020,7,139057.14285714287
래미안상도3차,80.0,2020-07-28,114000,2004,16,84.96,7,2020,7,139057.14285714287
래미안상도3차,80.0,2020-08-01,114800,2004,16,84.96,15,2020,8,139057.14285714287
래미안상도3차,80.0,2020-08-03,95000,2004,16,84.96,8,2020,8,139057.14285714287
래미안상도3차,80.0,2020-08-07,114500,2004,16,84.96,10,2020,8,139057.14285714287
래미안상도3차,80.0,2020-08-21,113400,2004,16,84.96,5,2020,8,139339.58333333334
래미안상도3차,80.0,2020-09-01,115700,2004,16,84.96,12,2020,9,139789.13043478262
래미안상도3차,80.0,2020-09-05,114500,2004,16,84.96,6,2020,9,139789.13043478262
래미안상도3차,80.0,2020-09-05,114500,2004,16,84.96,11,2020,9,139789.13043478262
래미안상도3차,80.0,2020-09-12,110000,2004,16,84.96,6,2020,9,139984.44444444444
래미안상도3차,80.0,2020-10-10,119800,2004,16,84.96,5,2020,10,140447.61904761905
래미안상도3차,80.0,2020-10-10,119800,2004,16,84.96,5,2020,10,140447.61904761905
래미안상도3차,80.0,2020-10-12,120000,2004,16,84.96,6,2020,10,140447.61904761905
래미안상도3차,80.0,2020-11-17,124700,2004,16,84.96,9,2020,11,141364.86486486485
래미안상도3차,80.0,2020-11-27,114000,2004,16,84.96,2,2020,11,141458.33333333334
래미안상도3차,80.0,2020-12-05,124800,2004,16,84.96,13,2020,12,141500.0
래미안상도3차,80.0,2020-12-10,122000,2004,16,84.96,14,2020,12,141720.58823529413
래미안상도3차,80.0,2020-12-15,122000,2004,16,84.96,12,2020,12,141818.18181818182
래미안상도3차,80.0,2020-12-16,122000,2004,16,84.96,12,2020,12,141818.18181818182
